Tipo,Categoria,Subcategoria,Codigo,Concepto,Mes,Mes_Num,Monto
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Junio,6,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Julio,7,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Agosto,8,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Octubre,10,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,501-301,MOLDES,Diciembre,12,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Enero,1,5000
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Febrero,2,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Marzo,3,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Abril,4,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Mayo,5,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Junio,6,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Julio,7,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Agosto,8,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Octubre,10,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,601-035,CRM VEHICULOS,Diciembre,12,1704
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Enero,1,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Febrero,2,882
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Marzo,3,504
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Abril,4,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Mayo,5,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Junio,6,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Julio,7,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Agosto,8,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Octubre,10,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Noviembre,11,0
gasto,GASTOS DE FABRICACION,,501-400,FLETES,Diciembre,12,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Enero,1,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Febrero,2,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Marzo,3,5041
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Abril,4,5452
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Mayo,5,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Junio,6,8178
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Julio,7,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Agosto,8,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Septiembre,9,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Octubre,10,0
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Noviembre,11,5452
gasto,GASTOS DE FABRICACION,,601-009,RECOL BASURA,Diciembre,12,2726
gasto,GASTOS DE FABRICACION,,601-032,GIF,Enero,1,3829
gasto,GASTOS DE FABRICACION,,601-032,GIF,Febrero,2,8984
gasto,GASTOS DE FABRICACION,,601-032,GIF,Marzo,3,11245
gasto,GASTOS DE FABRICACION,,601-032,GIF,Abril,4,0
gasto,GASTOS DE FABRICACION,,601-032,GIF,Mayo,5,6316
gasto,GASTOS DE FABRICACION,,601-032,GIF,Junio,6,16578
gasto,GASTOS DE FABRICACION,,601-032,GIF,Julio,7,0
gasto,GASTOS DE FABRICACION,,601-032,GIF,Agosto,8,16604
gasto,GASTOS DE FABRICACION,,601-032,GIF,Septiembre,9,11375
gasto,GASTOS DE FABRICACION,,601-032,GIF,Octubre,10,19730
gasto,GASTOS DE FABRICACION,,601-032,GIF,Noviembre,11,8675
gasto,GASTOS DE FABRICACION,,601-032,GIF,Diciembre,12,2798
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Enero,1,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Febrero,2,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Marzo,3,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Abril,4,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Mayo,5,1622
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Junio,6,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Julio,7,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Agosto,8,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Septiembre,9,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Octubre,10,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Noviembre,11,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-002,UNIFORMES,Diciembre,12,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Enero,1,2476
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Febrero,2,2476
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Marzo,3,2476
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Abril,4,2536
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Mayo,5,2558
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Junio,6,2618
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Julio,7,1270
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Agosto,8,3966
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Septiembre,9,2618
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Octubre,10,2618
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Noviembre,11,2618
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-003,TEL INET,Diciembre,12,1348
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Enero,1,1569
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Febrero,2,2687
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Marzo,3,898
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Abril,4,1377
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Mayo,5,1397
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Junio,6,1197
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Julio,7,1201
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Agosto,8,1197
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Septiembre,9,1205
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Octubre,10,860
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Noviembre,11,2242
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-006,CELULAR,Diciembre,12,1197
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Enero,1,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Febrero,2,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Marzo,3,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Abril,4,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Mayo,5,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Junio,6,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Julio,7,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Agosto,8,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Septiembre,9,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Octubre,10,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Noviembre,11,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-005,HONORARIOS,Diciembre,12,9744
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Enero,1,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Febrero,2,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Marzo,3,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Abril,4,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Mayo,5,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Junio,6,8130
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Julio,7,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Agosto,8,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Septiembre,9,3057
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Octubre,10,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Noviembre,11,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-007,ART LIMPIEZA,Diciembre,12,0
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Enero,1,5600
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Febrero,2,7300
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Marzo,3,5300
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Abril,4,8400
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Mayo,5,5300
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Junio,6,18902
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Julio,7,4312
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Agosto,8,4500
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Septiembre,9,7500
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Octubre,10,17400
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Noviembre,11,10250
gasto,GASTOS DE ADMINISTRACION,GASTOS GENERALES,601-008,COMBUST VEH,Diciembre,12,16999
